Current prices, (bill. DKK.);B.1*g Gross domestic product;2008Q4;457.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2009Q1;420.8
Current prices, (bill. DKK.);B.1*g Gross domestic product;2009Q2;426.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2009Q3;429.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2009Q4;445.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2010Q1;430.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2010Q2;454.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2010Q3;455.8
Current prices, (bill. DKK.);B.1*g Gross domestic product;2010Q4;470.0
Current prices, (bill. DKK.);B.1*g Gross domestic product;2011Q1;449.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2011Q2;466.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2011Q3;456.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2011Q4;474.0
Current prices, (bill. DKK.);B.1*g Gross domestic product;2012Q1;457.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2012Q2;477.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2012Q3;474.1
Current prices, (bill. DKK.);B.1*g Gross domestic product;2012Q4;485.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2013Q1;464.3
Current prices, (bill. DKK.);B.1*g Gross domestic product;2013Q2;487.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2013Q3;482.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2013Q4;495.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2014Q1;479.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2014Q2;495.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2014Q3;493.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2014Q4;512.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2015Q1;495.9
Current prices, (bill. DKK.);B.1*g Gross domestic product;2015Q2;513.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2015Q3;505.9
Current prices, (bill. DKK.);B.1*g Gross domestic product;2015Q4;521.1
Current prices, (bill. DKK.);B.1*g Gross domestic product;2016Q1;504.8
Current prices, (bill. DKK.);B.1*g Gross domestic product;2016Q2;534.1
Current prices, (bill. DKK.);B.1*g Gross domestic product;2016Q3;521.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2016Q4;547.4
Current prices, (bill. DKK.);B.1*g Gross domestic product;2017Q1;530.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2017Q2;558.4
Current prices, (bill. DKK.);B.1*g Gross domestic product;2017Q3;541.1
Current prices, (bill. DKK.);B.1*g Gross domestic product;2017Q4;562.9
Current prices, (bill. DKK.);B.1*g Gross domestic product;2018Q1;538.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2018Q2;569.3
Current prices, (bill. DKK.);B.1*g Gross domestic product;2018Q3;560.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2018Q4;585.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2019Q1;555.8
Current prices, (bill. DKK.);B.1*g Gross domestic product;2019Q2;583.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2019Q3;574.4
Current prices, (bill. DKK.);B.1*g Gross domestic product;2019Q4;597.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2020Q1;570.4
Current prices, (bill. DKK.);B.1*g Gross domestic product;2020Q2;555.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2020Q3;581.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2020Q4;613.8
Current prices, (bill. DKK.);B.1*g Gross domestic product;2021Q1;588.2
Current prices, (bill. DKK.);B.1*g Gross domestic product;2021Q2;634.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2021Q3;637.0
Current prices, (bill. DKK.);B.1*g Gross domestic product;2021Q4;691.0
Current prices, (bill. DKK.);B.1*g Gross domestic product;2022Q1;659.5
Current prices, (bill. DKK.);B.1*g Gross domestic product;2022Q2;714.7
Current prices, (bill. DKK.);B.1*g Gross domestic product;2022Q3;719.6
Current prices, (bill. DKK.);B.1*g Gross domestic product;2022Q4;737.9
Current prices, (bill. DKK.);B.1*g Gross domestic product;2023Q1;691.0
Current prices, (bill. DKK.);B.1*g Gross domestic product;2023Q2;698.9
Current prices, (bill. DKK.);B.1*g Gross domestic product;2023Q3;669.3
Current prices, (bill. DKK.);B.1*g Gross domestic product;2023Q4;732.4
